taxon_id	order	scientific_name	massg	diet	realm	gisfrag_high	high_hfp_change_high	high_hfp_change_medium_unsuitable	high_hfp_extent_high	high_hfp_extent_medium_unsuitable	gisfrag_medium_unsuitable	proportion_high	gestation_length	weaning_age	trans_first_last
41401	Eulipotyphla	Sorex longirostris	3.6	Omnivore	Nearctic|Neotropical	1418.714227	0.001071286	0	99.14948815	99.69545963	961.3264293	68.30817637	31.107215	33.1337915	Low-risk
41402	Eulipotyphla	Sorex lyelli	5	Omnivore	Nearctic	453.5657748	0	0	40.44692737	44.12426835	908.2007841	29.50378031	21.71906333	25.989655	Low-risk
41403	Eulipotyphla	Sorex merriami	5.9	Omnivore	Nearctic	3020.990047	0.007624984	0.019224051	95.07854925	86.4446412	1096.955629	69.92353754	21.43541333	24.876215	Low-risk
41405	Eulipotyphla	Sorex monticolus	5.3	Omnivore	Nearctic	1478.557974	0.274655513	0.142917073	31.05869065	44.16184944	1213.713487	81.11203279	21.580966	20.88	Low-risk
41406	Eulipotyphla	Sorex nanus	2.4	Omnivore	Nearctic	3402.896247	0.010520743	0	91.96136059	95.03328347	377.6742726	88.52780568	21.50716	24.845455	Low-risk
41408	Eulipotyphla	Sorex ornatus	5	Omnivore	Nearctic	1498.835851	0.318106027	0	83.82507716	92.88976407	1806.107765	43.86522012	21	26.059455	Low-risk
41409	Eulipotyphla	Sorex pacificus	6.7	Omnivore	Nearctic	2249.339935	0.013379461	0	95.30380932	99.28547125	585.5823551	90.01268035	23.50912333	24.19304	Low-risk
41410	Eulipotyphla	Sorex palustris	13.5	Omnivore	Nearctic	1754.328845	0.126716443	0	51.06243177	46.86374051	1357.154446	84.00032187	21	24.78037	Low-risk
41411	Eulipotyphla	Sorex planiceps	10.5	Omnivore	Indomalayan|Palearctic	434.3421308	0.314195944	0.367998471	95.34418738	86.48441981	1695.105799	25.13152974	38.08700333	28.4971525	Low-risk
41413	Eulipotyphla	Sorex preblei	3.1	Omnivore	Nearctic	1825.03632	0.014441448	0.014756149	92.02675961	83.51665631	4994.895042	38.256646	22.92731	26.36009	Low-risk
41414	Eulipotyphla	Sorex roboratus	9.1	Omnivore	Palearctic	2017.998505	0.247293447	0.001350955	19.33653446	42.13438167	1043.825953	84.4067485	20.85442833	25.09126	Low-risk
41415	Eulipotyphla	Sorex satunini	7.5	Omnivore	Palearctic	925.9902053	0.011648942	0.016169121	99.78757812	99.13664412	1782.568345	35.46253405	21.063281	22.74391	Low-risk
41416	Eulipotyphla	Sorex saussurei	4.7	Omnivore	Nearctic|Neotropical	947.1397854	0.356952365	0.329187435	96.47971116	95.9845344	5186.411753	27.51014906	22.26766833	26.76276	Low-risk
41417	Eulipotyphla	Sorex shinto	5.9	Omnivore	Palearctic	792.4071549	0	0	99.89141058	99.26831932	696.703909	66.82175998	21.74608333	25.747175	Low-risk
41418	Eulipotyphla	Sorex sonomae	8.3	Omnivore	Nearctic	2277.040178	0.010676917	0	92.81279259	97.66345868	572.7107974	85.82877868	22.9868	23.12272	Low-risk
41419	Eulipotyphla	Sorex tenellus	3.8	Omnivore	Nearctic	5703.628138	0.03164557	0	68.95411392	43.56333677	751.8477128	96.99638566	22.742765	26.81898	Low-risk
41421	Eulipotyphla	Sorex trowbridgii	3.8	Omnivore	Nearctic	1988.260515	0.029424892	0	91.54381499	79.85795769	1233.405554	80.62459551	23.23435	25.50475	Low-risk
